,record_id,month,day,year,district,city,tenure,income
595,596,2,18,1978,9,DS,R,126.0
596,597,2,18,1978,20,DM,R,39.0
597,598,2,18,1978,2,OT,R,24.0
598,599,2,18,1978,3,OT,R,23.0
599,600,2,18,1978,2,DM,R,40.0
600,601,2,18,1978,2,DM,O,41.0
601,602,2,18,1978,13,DM,O,46.0
602,603,2,18,1978,2,OT,O,25.0
603,604,2,18,1978,2,PE,O,25.0
604,605,2,18,1978,19,,,
605,606,2,18,1978,23,,,
606,607,2,19,1978,5,DM,R,39.0
607,608,2,19,1978,17,DM,R,42.0
608,609,2,19,1978,4,DS,R,
609,610,2,19,1978,17,DM,O,39.0
610,611,2,19,1978,21,OT,R,23.0
611,612,2,19,1978,4,DS,,
612,613,2,19,1978,5,DS,O,
613,614,2,19,1978,4,DS,R,124.0
614,615,2,19,1978,5,DS,R,114.0
615,616,2,19,1978,11,DM,O,44.0
616,617,2,19,1978,11,DM,O,48.0
617,618,2,19,1978,14,DS,R,
618,619,2,19,1978,14,DM,R,44.0
619,620,2,19,1978,8,DS,R,132.0
620,621,2,19,1978,4,PF,,
621,622,2,19,1978,17,DS,R,137.0
622,623,2,19,1978,21,OT,,
623,624,2,19,1978,4,DM,O,39.0
624,625,2,19,1978,5,DM,R,56.0
625,626,2,19,1978,17,OL,R,35.0
626,627,2,19,1978,17,DM,,
627,628,2,19,1978,11,DM,,
628,629,2,19,1978,14,,,197.0
629,630,2,19,1978,5,OT,R,22.0
630,631,2,19,1978,5,OT,O,25.0
631,632,2,19,1978,7,,,
632,633,2,19,1978,8,DS,O,154.0
633,634,2,19,1978,10,,,
634,635,2,20,1978,15,DM,O,49.0
635,636,2,20,1978,18,DM,R,44.0
636,637,2,20,1978,18,DM,R,35.0
637,638,2,20,1978,12,DM,R,36.0
638,639,2,20,1978,1,DM,R,39.0
639,640,2,20,1978,12,DS,R,133.0
640,641,2,20,1978,15,DM,O,50.0
641,642,2,20,1978,1,DM,O,43.0
642,643,2,20,1978,15,DM,R,40.0
643,644,2,20,1978,18,DM,O,45.0
644,645,2,20,1978,12,DM,O,44.0
645,646,2,20,1978,18,,O,228.0
646,647,2,20,1978,1,DS,R,144.0
647,648,2,20,1978,16,DM,R,46.0
648,649,2,20,1978,16,DM,O,48.0
649,650,3,11,1978,2,PF,R,7.0
650,651,3,11,1978,20,DM,O,45.0
651,652,3,11,1978,2,PF,O,8.0
652,653,3,11,1978,22,DS,R,133.0
653,654,3,11,1978,22,DM,R,40.0
654,655,3,11,1978,3,,O,232.0
655,656,3,11,1978,9,DS,R,128.0
656,657,3,11,1978,2,DS,O,153.0
657,658,3,11,1978,3,OT,R,22.0
658,659,3,11,1978,20,OT,R,21.0
659,660,3,11,1978,2,DM,O,53.0
660,661,3,11,1978,2,,,
661,662,3,11,1978,13,PF,R,8.0
662,663,3,11,1978,2,OT,O,25.0
663,664,3,11,1978,2,DM,O,43.0
664,665,3,11,1978,20,DM,R,43.0
665,666,3,11,1978,13,OL,O,38.0
666,667,3,11,1978,20,DM,R,42.0
667,668,3,11,1978,3,OT,O,26.0
668,669,3,11,1978,9,DS,R,146.0
669,670,3,11,1978,2,OT,R,25.0
670,671,3,11,1978,2,PE,O,28.0
671,672,3,11,1978,3,PF,O,8.0
672,673,3,11,1978,2,PE,R,29.0
673,674,3,11,1978,20,DS,O,122.0
674,675,3,11,1978,6,,,
675,676,3,11,1978,23,,,
676,677,3,12,1978,5,DS,O,137.0
677,678,3,12,1978,4,DS,O,131.0
678,679,3,12,1978,5,DS,R,125.0
679,680,3,12,1978,17,DM,O,
680,681,3,12,1978,14,DS,R,
681,682,3,12,1978,21,OT,,
682,683,3,12,1978,21,PF,R,
683,684,3,12,1978,4,DM,O,43.0
684,685,3,12,1978,17,DS,R,
685,686,3,12,1978,4,PF,,
686,687,3,12,1978,5,DS,R,69.0
687,688,3,12,1978,4,DS,R,141.0
688,689,3,12,1978,11,DS,O,138.0
689,690,3,12,1978,11,DM,O,43.0
690,691,3,12,1978,4,DS,R,124.0
691,692,3,12,1978,14,DM,,
692,693,3,12,1978,21,OT,O,
693,694,3,12,1978,11,DM,R,43.0
694,695,3,12,1978,17,RM,,
695,696,3,12,1978,5,DM,R,45.0
696,697,3,12,1978,11,DM,O,46.0
697,698,3,12,1978,14,DM,R,
698,699,3,12,1978,5,DM,R,43.0
699,700,3,12,1978,5,DM,O,49.0
700,701,3,12,1978,17,OL,,
701,702,3,12,1978,5,DM,O,47.0
702,703,3,12,1978,17,DS,O,
703,704,3,12,1978,5,DM,O,
704,705,3,12,1978,11,DS,R,
705,706,3,12,1978,17,OT,R,
706,707,3,12,1978,17,DM,R,
707,708,3,12,1978,5,OT,O,26.0
708,709,3,12,1978,10,,,
709,710,3,13,1978,8,DS,O,152.0
710,711,3,13,1978,18,DM,R,44.0
711,712,3,13,1978,15,DM,O,48.0
712,713,3,13,1978,8,OT,O,29.0
713,714,3,13,1978,15,DM,R,44.0
714,715,3,13,1978,18,DM,O,49.0
715,716,3,13,1978,15,DM,O,45.0
716,717,3,13,1978,1,DM,R,51.0
717,718,3,13,1978,8,DO,O,57.0
718,719,3,13,1978,18,DM,O,
719,720,3,13,1978,8,DS,R,134.0
720,721,3,13,1978,1,DM,R,44.0
721,722,3,13,1978,16,OL,R,30.0
722,723,3,13,1978,8,OT,R,35.0
723,724,3,13,1978,15,DM,O,48.0
724,725,3,13,1978,1,DS,R,146.0
725,726,3,13,1978,18,DM,R,37.0
726,727,3,13,1978,7,,,
727,728,3,13,1978,12,,,
728,729,3,13,1978,15,DM,O,46.0
729,730,3,13,1978,19,,,
730,731,4,8,1978,2,DS,R,110.0
731,732,4,8,1978,2,OT,,
732,733,4,8,1978,2,DM,O,
733,734,4,8,1978,6,DM,O,
734,735,4,8,1978,6,OT,R,
735,736,4,8,1978,6,,O,
736,737,4,8,1978,9,DM,R,
737,738,4,8,1978,13,PF,O,
738,739,4,8,1978,13,PE,O,
739,740,4,8,1978,13,OL,O,
740,741,4,8,1978,13,DS,O,
741,742,4,8,1978,13,PE,O,
742,743,4,8,1978,20,DM,O,
743,744,4,8,1978,20,PE,R,
744,745,4,8,1978,22,DM,R,
745,746,4,8,1978,22,OT,O,
746,747,4,8,1978,9,DM,R,
747,748,4,8,1978,2,,,
748,749,4,8,1978,2,DS,O,
749,750,4,8,1978,9,PF,R,
750,751,4,8,1978,13,DM,O,
751,752,4,8,1978,9,DS,R,
752,753,4,8,1978,20,DM,R,
753,754,4,8,1978,2,DM,O,
754,755,4,8,1978,3,,R,
755,756,4,8,1978,21,OT,R,
756,757,4,8,1978,2,DM,R,
757,758,4,8,1978,9,DM,O,
758,759,4,8,1978,22,DS,R,
759,760,4,8,1978,9,DS,O,
760,761,4,8,1978,9,DS,R,
761,762,4,8,1978,13,SS,,
762,763,4,8,1978,20,DS,O,
763,764,4,8,1978,2,DM,O,
764,765,4,8,1978,9,DM,R,
765,766,4,8,1978,22,DM,R,
766,767,4,8,1978,13,DM,O,
767,768,4,8,1978,13,OL,,
768,769,4,8,1978,6,,,
769,770,4,9,1978,4,DM,O,26.0
770,771,4,9,1978,4,DM,O,44.0
771,772,4,9,1978,5,DM,,
772,773,4,9,1978,5,DM,O,48.0
773,774,4,9,1978,5,DM,O,39.0
774,775,4,9,1978,5,DM,O,44.0
775,776,4,9,1978,5,DM,O,45.0
776,777,4,9,1978,8,OT,O,27.0
777,778,4,9,1978,8,DM,O,36.0
778,779,4,9,1978,11,SA,,
779,780,4,9,1978,11,DM,O,51.0
780,781,4,9,1978,11,DM,R,45.0
781,782,4,9,1978,11,DM,O,47.0
782,783,4,9,1978,14,DS,R,90.0
783,784,4,9,1978,17,OT,O,23.0
784,785,4,9,1978,17,DM,O,49.0
785,786,4,9,1978,11,DS,O,131.0
786,787,4,9,1978,5,DS,R,114.0
787,788,4,9,1978,17,DM,O,42.0
788,789,4,9,1978,8,DS,O,148.0
789,790,4,9,1978,5,DS,R,76.0
790,791,4,9,1978,5,DS,O,141.0
791,792,4,9,1978,17,DM,R,42.0
792,793,4,9,1978,4,DS,R,121.0
793,794,4,9,1978,11,DM,O,44.0
794,795,4,9,1978,17,DO,R,55.0
795,796,4,9,1978,4,DS,O,133.0
796,797,4,9,1978,17,DS,O,142.0
797,798,4,9,1978,8,DS,R,142.0
798,799,4,9,1978,11,DM,R,46.0
799,800,4,9,1978,5,DM,R,50.0
800,801,4,9,1978,14,DS,R,142.0
801,802,4,9,1978,8,DM,,
802,803,4,9,1978,4,DS,R,84.0
803,804,4,9,1978,4,DM,O,42.0
804,805,4,9,1978,17,DS,R,142.0
805,806,4,9,1978,4,DS,R,118.0
806,807,4,9,1978,17,DM,R,43.0
807,808,4,9,1978,11,DS,R,132.0
808,809,4,9,1978,11,DS,R,75.0
809,810,4,9,1978,14,DM,R,49.0
810,811,4,9,1978,19,,,
811,812,4,9,1978,23,,,
812,813,4,10,1978,1,SA,,
813,814,4,10,1978,1,DS,O,168.0
814,815,4,10,1978,1,DM,R,43.0
815,816,4,10,1978,18,DS,R,84.0
816,817,4,10,1978,12,DM,R,
817,818,4,10,1978,1,DS,R,87.0
818,819,4,10,1978,12,DS,R,117.0
819,820,4,10,1978,18,DM,R,42.0
820,821,4,10,1978,16,DM,R,41.0
821,822,4,10,1978,1,DS,R,140.0
822,823,4,10,1978,18,DM,R,40.0
823,824,4,10,1978,12,DM,O,45.0
824,825,4,10,1978,18,,O,225.0
825,826,4,10,1978,16,OT,O,18.0
826,827,4,10,1978,15,DM,O,47.0
827,828,4,10,1978,18,DM,,48.0
828,829,4,10,1978,1,DS,O,89.0
829,830,4,10,1978,18,DM,O,51.0
830,831,4,10,1978,7,,,
831,832,4,10,1978,10,,,
832,833,5,6,1978,2,PF,O,8.0
833,834,5,6,1978,22,DM,O,47.0
834,835,5,6,1978,2,DS,O,149.0
835,836,5,6,1978,9,DS,R,124.0
836,837,5,6,1978,6,DS,R,73.0
837,838,5,6,1978,2,DM,O,48.0
838,839,5,6,1978,9,DS,O,139.0
839,840,5,6,1978,6,DM,O,41.0
840,841,5,6,1978,20,DS,O,123.0
841,842,5,6,1978,2,DM,R,41.0
842,843,5,6,1978,22,DS,R,114.0
843,844,5,6,1978,9,DS,R,59.0
844,845,5,6,1978,2,,O,204.0
845,846,5,6,1978,9,DS,R,90.0
846,847,5,6,1978,20,DM,O,45.0
847,848,5,6,1978,22,,O,212.0
848,849,5,6,1978,2,DM,O,43.0
849,850,5,6,1978,22,DS,R,91.0
850,851,5,6,1978,9,DS,O,50.0
851,852,5,6,1978,13,DM,O,44.0
852,853,5,6,1978,9,DS,R,113.0
853,854,5,6,1978,9,DM,O,36.0
854,855,5,6,1978,9,DS,R,90.0
855,856,5,6,1978,9,DM,R,50.0
856,857,5,6,1978,13,SS,,
857,858,5,6,1978,3,,,
858,859,5,6,1978,21,OT,R,9.0
859,860,5,17,1978,14,OL,O,
860,861,5,17,1978,21,OL,R,29.0
861,862,5,17,1978,5,DS,O,137.0
862,863,5,17,1978,5,DS,O,57.0
863,864,5,17,1978,12,DS,R,121.0
864,865,5,17,1978,20,DM,R,31.0
865,866,5,17,1978,12,DM,R,41.0
866,867,5,17,1978,6,DM,O,37.0
867,868,5,17,1978,6,DS,R,83.0
868,869,5,17,1978,20,,R,174.0
869,870,5,17,1978,22,DS,R,116.0
870,871,5,17,1978,6,DS,R,74.0
871,872,5,17,1978,20,DS,O,130.0
872,873,5,17,1978,22,DS,R,
873,874,5,17,1978,20,DM,O,40.0
874,875,5,17,1978,5,,R,212.0
875,876,5,17,1978,6,DM,O,41.0
876,877,5,17,1978,12,DS,R,83.0
877,878,5,17,1978,19,,,
878,879,5,17,1978,23,,,
879,880,5,18,1978,16,DM,O,48.0
880,881,5,18,1978,18,DM,R,41.0
881,882,5,18,1978,11,DS,O,118.0
882,883,5,18,1978,17,PM,R,22.0
883,884,5,18,1978,18,DS,O,102.0
884,885,5,18,1978,11,DM,O,42.0
885,886,5,18,1978,3,,R,182.0
886,887,5,18,1978,11,DM,R,29.0
887,888,5,18,1978,17,DM,O,23.0
888,889,5,18,1978,18,DS,R,138.0
889,890,5,18,1978,17,DS,O,131.0
890,891,5,18,1978,17,DM,O,41.0
891,892,5,18,1978,17,DS,R,115.0
892,893,5,18,1978,14,DS,R,121.0
893,894,5,18,1978,17,DM,R,38.0
894,895,5,18,1978,4,DS,O,126.0
895,896,5,18,1978,4,DS,R,120.0
896,897,5,18,1978,11,PP,O,15.0
897,898,5,18,1978,11,DM,R,29.0
898,899,5,18,1978,18,DM,R,43.0
899,900,5,18,1978,15,DM,O,41.0
900,901,5,18,1978,4,DS,R,68.0
901,902,5,18,1978,4,DS,O,83.0
902,903,5,18,1978,14,DM,O,
903,904,5,18,1978,11,DS,R,97.0
904,905,5,18,1978,17,DM,O,21.0
905,906,5,18,1978,11,DM,O,21.0
906,907,5,18,1978,14,DM,R,44.0
907,908,5,18,1978,17,DO,O,18.0
908,909,5,18,1978,4,DM,O,40.0
909,910,5,18,1978,17,DM,R,41.0
910,911,5,19,1978,9,DS,R,129.0
911,912,5,19,1978,2,DS,O,148.0
912,913,5,19,1978,1,DM,O,42.0
913,914,5,19,1978,2,DM,R,41.0
914,915,5,19,1978,13,OT,R,24.0
915,916,5,19,1978,8,DS,R,108.0
916,917,5,19,1978,1,DS,O,160.0
917,918,5,19,1978,2,OT,R,30.0
918,919,5,19,1978,8,DO,O,54.0
919,920,5,19,1978,8,PF,R,7.0
920,921,5,19,1978,8,DS,R,125.0
921,922,5,19,1978,1,DS,O,100.0
922,923,5,19,1978,1,DM,O,21.0
923,924,5,19,1978,2,DM,O,49.0
924,925,5,19,1978,9,DM,O,35.0
925,926,5,19,1978,1,DO,O,37.0
926,927,5,19,1978,9,DS,R,64.0
927,928,5,19,1978,1,DS,R,131.0
928,929,5,19,1978,1,DS,O,54.0
929,930,5,19,1978,2,DM,O,44.0
930,931,5,19,1978,9,DS,R,90.0
931,932,5,19,1978,1,DM,R,39.0
932,933,5,19,1978,2,PP,R,13.0
933,934,5,19,1978,2,DS,R,114.0
934,935,5,19,1978,7,,,
935,936,5,19,1978,10,,,
936,937,6,8,1978,12,DS,O,90.0
937,938,6,8,1978,20,DM,O,46.0
938,939,6,8,1978,8,DS,R,110.0
939,940,6,8,1978,11,DS,O,119.0
940,941,6,8,1978,17,DM,O,29.0
941,942,6,8,1978,20,DM,O,48.0
942,943,6,8,1978,8,SS,,
943,944,6,8,1978,9,DS,R,124.0
944,945,6,8,1978,12,DS,R,84.0
945,946,6,8,1978,11,DM,R,43.0
946,947,6,8,1978,17,DM,R,43.0
947,948,6,8,1978,9,DM,O,40.0
948,949,6,8,1978,22,DS,R,120.0
949,950,6,8,1978,8,DO,R,55.0
950,951,6,8,1978,17,OL,R,29.0
951,952,6,8,1978,20,DM,R,26.0
952,953,6,8,1978,12,DS,R,115.0
953,954,6,8,1978,22,DM,O,45.0
954,955,6,8,1978,9,DS,O,70.0
955,956,6,8,1978,17,DS,R,123.0
956,957,6,8,1978,12,DM,R,16.0
957,958,6,8,1978,20,DM,R,42.0
958,959,6,8,1978,8,DS,R,125.0
959,960,6,8,1978,12,DM,O,19.0
960,961,6,8,1978,8,DO,O,55.0
961,962,6,8,1978,22,DS,R,117.0
962,963,6,8,1978,17,DS,O,133.0
963,964,6,8,1978,9,DM,O,36.0
964,965,6,8,1978,9,DS,R,71.0
965,966,6,8,1978,17,DM,O,29.0
966,967,6,8,1978,22,DS,R,99.0
967,968,6,8,1978,22,PF,O,7.0
968,969,6,8,1978,21,PF,O,8.0
969,970,6,8,1978,12,DM,R,39.0
970,971,6,8,1978,17,,R,135.0
971,972,6,8,1978,9,DS,R,94.0
972,973,6,8,1978,9,DS,R,100.0
973,974,6,8,1978,11,DS,R,98.0
974,975,6,8,1978,17,DM,R,43.0
975,976,6,8,1978,8,PF,R,8.0
976,977,6,8,1978,17,DO,O,23.0
977,978,6,8,1978,21,OT,O,12.0
978,979,6,8,1978,11,DM,O,26.0
979,980,6,8,1978,20,DS,O,124.0
980,981,6,8,1978,11,PP,O,15.0
981,982,6,8,1978,12,DS,R,84.0
982,983,6,8,1978,7,,,
983,984,6,8,1978,10,,,
984,985,6,8,1978,19,,,
985,986,6,8,1978,23,,,
986,987,6,9,1978,6,DM,O,24.0
987,988,6,9,1978,18,DS,,
988,989,6,9,1978,4,DS,O,122.0
989,990,6,9,1978,2,,O,200.0
990,991,6,9,1978,13,PP,O,17.0
991,992,6,9,1978,14,DM,O,46.0
992,993,6,9,1978,2,DS,O,149.0
993,994,6,9,1978,18,DM,R,23.0
994,995,6,9,1978,2,PF,O,8.0
995,996,6,9,1978,18,DS,R,136.0
996,997,6,9,1978,18,DS,O,102.0
997,998,6,9,1978,14,DS,R,122.0
998,999,6,9,1978,18,DM,R,40.0
999,1000,6,9,1978,5,DS,R,71.0
1000,1001,6,9,1978,18,DM,R,42.0
1001,1002,6,9,1978,14,SS,O,130.0
1002,1003,6,9,1978,1,DS,O,160.0
1003,1004,6,9,1978,6,DS,R,82.0
1004,1005,6,9,1978,5,DS,O,134.0
1005,1006,6,9,1978,6,DM,O,38.0
1006,1007,6,9,1978,1,DM,R,40.0
1007,1008,6,9,1978,18,DM,R,37.0
1008,1009,6,9,1978,3,OT,R,29.0
1009,1010,6,9,1978,13,DS,R,107.0
1010,1011,6,9,1978,1,DS,O,100.0
1011,1012,6,9,1978,6,DS,O,32.0
1012,1013,6,9,1978,1,DO,O,38.0
1013,1014,6,9,1978,6,DS,R,73.0
1014,1015,6,9,1978,1,DS,R,134.0
1015,1016,6,9,1978,4,DS,R,119.0
1016,1017,6,9,1978,5,DM,R,50.0
1017,1018,6,9,1978,2,DM,O,43.0
1018,1019,6,9,1978,1,DS,R,59.0
1019,1020,6,9,1978,16,DM,O,48.0
1020,1021,6,9,1978,1,DS,O,58.0
1021,1022,6,9,1978,6,DM,O,41.0
1022,1023,6,9,1978,4,DS,R,81.0
1023,1024,6,9,1978,4,DS,O,93.0
1024,1025,6,9,1978,14,DM,O,28.0
1025,1026,6,9,1978,13,OL,O,44.0
1026,1027,6,9,1978,13,OT,R,28.0
1027,1028,6,9,1978,13,DM,R,24.0
1028,1029,6,9,1978,18,,O,232.0
1029,1030,6,9,1978,15,,,
1030,1031,7,7,1978,9,DS,R,127.0
1031,1032,7,7,1978,11,PP,O,16.0
1032,1033,7,7,1978,12,DM,R,44.0
1033,1034,7,7,1978,17,DM,O,35.0
1034,1035,7,7,1978,12,DM,O,17.0
1035,1036,7,7,1978,12,DS,R,122.0
1036,1037,7,7,1978,11,DS,O,122.0
1037,1038,7,7,1978,20,DM,R,32.0
1038,1039,7,7,1978,11,DM,R,48.0
1039,1040,7,7,1978,12,DS,O,95.0
1040,1041,7,7,1978,17,DM,O,45.0
1041,1042,7,7,1978,8,DO,O,51.0
1042,1043,7,7,1978,17,DM,O,47.0
1043,1044,7,7,1978,22,DS,R,119.0
1044,1045,7,7,1978,8,DS,R,124.0
1045,1046,7,7,1978,12,DS,R,87.0
1046,1047,7,7,1978,6,DS,R,85.0
1047,1048,7,7,1978,8,DM,R,
1048,1049,7,7,1978,9,DM,O,36.0
1049,1050,7,7,1978,22,DS,R,123.0
1050,1051,7,7,1978,8,DS,R,111.0
1051,1052,7,7,1978,17,DM,R,39.0
1052,1053,7,7,1978,12,DM,O,27.0
1053,1054,7,7,1978,22,DS,R,105.0
1054,1055,7,7,1978,17,DS,O,132.0
1055,1056,7,7,1978,17,DM,R,45.0
1056,1057,7,7,1978,11,DS,R,96.0
1057,1058,7,7,1978,12,DM,R,40.0
1058,1059,7,7,1978,17,DS,R,120.0
1059,1060,7,7,1978,12,DM,O,43.0
1060,1061,7,7,1978,2,DM,R,46.0
1061,1062,7,7,1978,2,DM,R,43.0
1062,1063,7,7,1978,9,DS,R,86.0
1063,1064,7,7,1978,21,PF,O,8.0
1064,1065,7,7,1978,9,DM,O,34.0
1065,1066,7,7,1978,12,DS,O,106.0
1066,1067,7,7,1978,12,OT,R,22.0
1067,1068,7,7,1978,17,OL,R,29.0
1068,1069,7,7,1978,9,DS,R,98.0
1069,1070,7,7,1978,17,DO,O,33.0
1070,1071,7,7,1978,7,,,
1071,1072,7,7,1978,10,,,
1072,1073,7,7,1978,19,,,
1073,1074,7,7,1978,23,,,
1074,1075,7,8,1978,13,DM,O,46.0
1075,1076,7,8,1978,15,PP,R,12.0
1076,1077,7,8,1978,4,DS,O,130.0
1077,1078,7,8,1978,15,PP,R,10.0
1078,1079,7,8,1978,18,DS,O,106.0
1079,1080,7,8,1978,14,DM,R,39.0
1080,1081,7,8,1978,14,,O,113.0
1081,1082,7,8,1978,1,DM,R,45.0
1082,1083,7,8,1978,3,,R,115.0
1083,1084,7,8,1978,4,DM,R,36.0
1084,1085,7,8,1978,18,DM,O,24.0
1085,1086,7,8,1978,14,DS,R,120.0
1086,1087,7,8,1978,3,,O,190.0
1087,1088,7,8,1978,14,PP,O,10.0
1088,1089,7,8,1978,16,DM,O,48.0
1089,1090,7,8,1978,18,DM,R,29.0
1090,1091,7,8,1978,18,DS,R,131.0
1091,1092,7,8,1978,13,DM,R,34.0
1092,1093,7,8,1978,1,DS,O,101.0
1093,1094,7,8,1978,18,DM,R,37.0
1094,1095,7,8,1978,5,DM,R,47.0
1095,1096,7,8,1978,5,DS,O,133.0
1096,1097,7,8,1978,1,DS,O,63.0
1097,1098,7,8,1978,16,DM,O,46.0
1098,1099,7,8,1978,4,DS,R,81.0
1099,1100,7,8,1978,5,DS,O,71.0
1100,1101,7,8,1978,1,DS,R,65.0
1101,1102,7,8,1978,4,DS,R,80.0
1102,1103,7,8,1978,1,DS,R,130.0
1103,1104,7,8,1978,14,DM,R,47.0
1104,1105,7,8,1978,4,DS,R,118.0
1105,1106,7,8,1978,4,DS,O,91.0
1106,1107,8,4,1978,12,DS,R,120.0
1107,1108,8,4,1978,17,PE,O,19.0
1108,1109,8,4,1978,22,DM,O,45.0
1109,1110,8,4,1978,17,PE,R,14.0
1110,1111,8,4,1978,8,DS,R,122.0
1111,1112,8,4,1978,17,DM,O,37.0
1112,1113,8,4,1978,20,DM,R,36.0
1113,1114,8,4,1978,21,OT,,19.0
1114,1115,8,4,1978,12,DS,R,95.0
1115,1116,8,4,1978,12,PP,O,18.0
1116,1117,8,4,1978,20,OL,O,17.0
1117,1118,8,4,1978,17,DS,R,123.0
1118,1119,8,4,1978,12,,O,189.0
1119,1120,8,4,1978,11,DM,R,17.0
1120,1121,8,4,1978,17,DM,O,50.0
1121,1122,8,4,1978,11,DS,O,126.0
1122,1123,8,4,1978,17,DM,R,44.0
1123,1124,8,4,1978,21,PF,O,8.0
1124,1125,8,4,1978,12,DM,O,44.0
1125,1126,8,4,1978,20,PP,R,13.0
1126,1127,8,4,1978,9,DM,O,39.0
1127,1128,8,4,1978,22,DS,R,115.0
1128,1129,8,4,1978,17,DO,O,38.0
1129,1130,8,4,1978,17,DS,O,138.0
1130,1131,8,4,1978,20,,R,179.0
1131,1132,8,4,1978,19,PM,R,21.0
1132,1133,8,4,1978,12,DS,O,105.0
1133,1134,8,4,1978,11,DM,R,43.0
1134,1135,8,4,1978,21,PP,O,14.0
1135,1136,8,4,1978,12,DM,O,32.0
1136,1137,8,4,1978,8,DM,R,36.0
1137,1138,8,4,1978,9,DM,O,40.0
1138,1139,8,4,1978,11,DM,O,36.0
1139,1140,8,4,1978,19,PM,O,19.0
1140,1141,8,4,1978,9,DS,R,139.0
1141,1142,8,4,1978,21,OL,O,20.0
1142,1143,8,4,1978,11,DS,R,108.0
1143,1144,8,4,1978,19,OT,O,12.0
1144,1145,8,4,1978,12,DM,R,39.0
1145,1146,8,4,1978,17,,R,149.0
1146,1147,8,4,1978,10,,,
1147,1148,8,5,1978,6,DM,R,43.0
1148,1149,8,5,1978,16,DM,O,48.0
1149,1150,8,5,1978,18,DM,R,33.0
1150,1151,8,5,1978,2,DS,O,165.0
